dataset_name,file_name,column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values,profile_note
neighbourhoods,neighbourhoods.csv,neighbourhood_group,float64,22,100.0,0.0,,,,
neighbourhoods,neighbourhoods.csv,neighbourhood,str,0,0.0,22.0,,,Bijlmer-Centrum | Bijlmer-Oost | Bos en Lommer,
summary_listings,listings.csv,id,int64,0,0.0,10465.0,28871,1708158632781004601,28871 | 29051 | 44129,
summary_listings,listings.csv,name,str,0,0.0,10148.0,,,Comfortable double room | Comfortable single / double room | Luxury design with canal view,
summary_listings,listings.csv,host_id,float64,96,0.9173,9104.0,3592.0,1.705253369814659e+18,124245.0 | 187728.0 | 194779.0,
summary_listings,listings.csv,host_profile_id,float64,233,2.2265,9076.0,1.462506389112963e+18,1.7078657404326943e+18,1.462510208428039e+18 | 1.4625121252931446e+18 | 1.4625123369036503e+18,
summary_listings,listings.csv,host_name,str,238,2.2742,3793.0,,,Edwin | Tanya | Jan,
summary_listings,listings.csv,neighbourhood_group,float64,10465,100.0,0.0,,,,
summary_listings,listings.csv,neighbourhood,str,0,0.0,22.0,,,Centrum-West | Centrum-Oost | Buitenveldert - Zuidas,
summary_listings,listings.csv,latitude,float64,0,0.0,7569.0,52.290276216002695,52.4251585173962,52.36775 | 52.36584 | 52.38211,
summary_listings,listings.csv,longitude,float64,0,0.0,8576.0,4.75587,5.02815,4.89092 | 4.89111 | 4.8863,
summary_listings,listings.csv,room_type,str,0,0.0,4.0,,,Private room | Entire home/apt | Hotel room,
summary_listings,listings.csv,price,float64,3994,38.1653,842.0,15.0,11412.0,94.0 | 314.0 | 440.0,
summary_listings,listings.csv,minimum_nights,float64,3,0.0287,48.0,1.0,800.0,1.0 | 3.0 | 2.0,
summary_listings,listings.csv,number_of_reviews,int64,0,0.0,606.0,0,5603,799 | 906 | 186,
summary_listings,listings.csv,last_review,str,1033,9.871,1506.0,,,2026-06-01 | 2026-04-30 | 2022-08-20,
summary_listings,listings.csv,reviews_per_month,float64,1033,9.871,703.0,0.01,92.56,4.15 | 4.88 | 0.96,
summary_listings,listings.csv,calculated_host_listings_count,float64,96,0.9173,20.0,1.0,24.0,2.0 | 4.0 | 1.0,
summary_listings,listings.csv,availability_365,int64,0,0.0,366.0,0,365,11 | 2 | 3,
summary_listings,listings.csv,number_of_reviews_ltm,int64,0,0.0,157.0,0,813,88 | 82 | 5,
summary_listings,listings.csv,license,str,319,3.0483,9032.0,,,0363 607B EA74 0BD8 2F6F | 03635399E87602900F47 | 0363 E76E F06A C1DD 172C,
summary_reviews,reviews.csv,listing_id,int64,0,0.0,9432.0,28871,1704341300366137848,28871 | 29051 | 44129,
summary_reviews,reviews.csv,date,str,0,0.0,5327.0,,,2010-08-22 | 2014-10-19 | 2015-02-09,
detailed_listings,listings.csv.gz,id,int64,0,0.0,10369.0,28871,1708158632781004601,28871 | 29051 | 44129,
detailed_listings,listings.csv.gz,listing_url,str,0,0.0,10369.0,,,https://www.airbnb.com/rooms/28871 | https://www.airbnb.com/rooms/29051 | https://www.airbnb.com/rooms/44129,
detailed_listings,listings.csv.gz,scrape_id,int64,0,0.0,1.0,20260615212022,20260615212022,20260615212022,
detailed_listings,listings.csv.gz,last_scraped,str,0,0.0,3.0,,,2026-06-16 | 2026-06-24 | 2026-06-15,
detailed_listings,listings.csv.gz,source,str,0,0.0,2.0,,,previous scrape | city scrape,
detailed_listings,listings.csv.gz,name,str,0,0.0,10076.0,,,Comfortable double room | Comfortable single / double room | Luxury design with canal view,
detailed_listings,listings.csv.gz,description,str,450,4.3399,9640.0,,,"Basic bedroom in the center of Amsterdam. | This room can also be rented as a single or a small double<br /><br />Also a cat lives here | Welcome to my little gem<br /><br />Cozy, bright and romantic one bedroom apartment on the first floor of a three sto...",
detailed_listings,listings.csv.gz,neighborhood_overview,float64,10369,100.0,0.0,,,,
