column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values
id,int64,0,0.0,10369,28871.0,1.7081586327810045e+18,"['28871', '29051', '44129']"
listing_url,str,0,0.0,10369,,,"['https://www.airbnb.com/rooms/28871', 'https://www.airbnb.com/rooms/29051', 'https://www.airbnb.com/rooms/44129']"
scrape_id,int64,0,0.0,1,20260615212022.0,20260615212022.0,['20260615212022']
last_scraped,str,0,0.0,3,,,"['2026-06-16', '2026-06-24', '2026-06-15']"
source,str,0,0.0,2,,,"['previous scrape', 'city scrape']"
name,str,0,0.0,10076,,,"['Comfortable double room', 'Comfortable single / double room', 'Luxury design with canal view']"
description,str,450,4.34,9640,,,"['Basic bedroom in the center of Amsterdam.', 'This room can also be rented as a single or a small double<br /><br />Also a cat lives here', 'Welcome to my little gem<br /><br />Cozy, bright and romantic one bedroom apartment on the first flo...']"
neighborhood_overview,float64,10369,100.0,0,,,[]
picture_url,str,0,0.0,10315,,,"['https://a0.muscache.com/pictures/160889/362340f7_original.jpg', 'https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg', 'https://a0.muscache.com/pictures/hosting/Hosting-44129/original/956f8b2f-8203-4d88-b179-3d9ad860dfd1...']"
host_id,int64,0,0.0,9104,3592.0,1.705253369814659e+18,"['124245', '187728', '194779']"
host_url,str,0,0.0,9104,,,"['https://www.airbnb.com/users/show/124245', 'https://www.airbnb.com/users/show/187728', 'https://www.airbnb.com/users/show/194779']"
host_profile_id,float64,142,1.37,9067,1.462506389112963e+18,1.7078657404326943e+18,"['1.462510208428039e+18', '1.4625121252931446e+18', '1.4625123369036503e+18']"
host_profile_url,str,137,1.32,9076,,,"['https://www.airbnb.com/users/profile/1462510208428038971', 'https://www.airbnb.com/users/profile/1462512125293144456', 'https://www.airbnb.com/users/profile/1462512336903650281']"
host_name,str,142,1.37,3793,,,"['Edwin', 'Tanya', 'Jan']"
host_since,float64,10369,100.0,0,,,[]
hosts_time_as_user_years,float64,142,1.37,18,0.0,17.0,"['16.0', '15.0', '14.0']"
hosts_time_as_user_months,float64,142,1.37,12,0.0,11.0,"['1.0', '10.0', '9.0']"
hosts_time_as_host_years,float64,142,1.37,16,0.0,15.0,"['15.0', '10.0', '14.0']"
hosts_time_as_host_months,float64,142,1.37,12,0.0,11.0,"['5.0', '11.0', '3.0']"
host_location,str,1372,13.23,222,,,"['Amsterdam, The Netherlands', 'Amsterdam, Netherlands', 'Haarlem, Netherlands']"
host_about,str,4959,47.83,4567,,,"['Hi', 'I am little bit of a nomad. Born in Belarus, raised in Canada, converted to Europe in London and fin...', 'Love to travel while hosting and to host while travelling!']"
host_response_time,float64,10369,100.0,0,,,[]
host_response_rate,float64,10369,100.0,0,,,[]
host_acceptance_rate,float64,10369,100.0,0,,,[]
host_is_superhost,str,142,1.37,2,,,"['t', 'f']"
host_thumbnail_url,float64,10369,100.0,0,,,[]
host_picture_url,str,142,1.37,9005,,,"['https://a0.muscache.com/im/pictures/user/9986bbdb-632f-42b5-a866-8e3307184977.jpg?aki_policy=profile...', 'https://a0.muscache.com/im/users/187728/profile_pic/1441737374/original.jpg?aki_policy=profile_x_med...', 'https://a0.muscache.com/im/users/194779/profile_pic/1436464796/original.jpg?aki_policy=profile_x_med...']"
host_neighbourhood,float64,10369,100.0,0,,,[]
host_listings_count,float64,142,1.37,39,1.0,1167.0,"['2.0', '6.0', '1.0']"
host_total_listings_count,float64,10369,100.0,0,,,[]
host_verifications,float64,10369,100.0,0,,,[]
host_has_profile_pic,str,142,1.37,2,,,"['t', 'f']"
host_identity_verified,str,142,1.37,2,,,"['t', 'f']"
neighbourhood,float64,10369,100.0,0,,,[]
neighbourhood_cleansed,str,0,0.0,22,,,"['Centrum-West', 'Centrum-Oost', 'Buitenveldert - Zuidas']"
neighbourhood_group_cleansed,float64,10369,100.0,0,,,[]
latitude,float64,0,0.0,7560,52.290276216002695,52.4251585173962,"['52.36775', '52.36584', '52.38211']"
longitude,float64,0,0.0,8565,4.75587,5.02815,"['4.89092', '4.89111', '4.8863']"
property_type,str,0,0.0,59,,,"['Private room in rental unit', 'Private room in condo', 'Entire rental unit']"
room_type,str,0,0.0,4,,,"['Private room', 'Entire home/apt', 'Hotel room']"
accommodates,int64,0,0.0,14,1.0,16.0,"['2', '4', '3']"
bathrooms,float64,4956,47.8,13,0.5,17.0,"['1.0', '1.5', '2.0']"
bathrooms_text,str,9,0.09,22,,,"['1 shared bath', '1.5 baths', '1 bath']"
bedrooms,float64,1150,11.09,11,0.0,17.0,"['1.0', '2.0', '3.0']"
beds,float64,4652,44.86,22,1.0,33.0,"['2.0', '4.0', '1.0']"
amenities,str,0,0.0,10009,,,"['[""Heating"", ""Fire extinguisher"", ""Hot water"", ""Refrigerator"", ""Bed linens"", ""Private entrance"", ""Car...', '[""Heating"", ""Fire extinguisher"", ""Hot water"", ""Refrigerator"", ""Shower gel"", ""Bed linens"", ""Private e...', '[""Smoking allowed"", ""Extra pillows and blankets"", ""Stove"", ""Heating"", ""Refrigerator"", ""Shower gel"", ...']"
price,str,3992,38.5,2709,,,"['$94.00', '$313.67', '$440.27']"
price_quote_checkin_date,str,3861,37.24,285,,,"['2027-05-29', '2026-07-16', '2026-06-19']"
price_quote_checkout_date,str,3861,37.24,313,,,"['2027-05-31', '2026-07-19', '2026-06-21']"
price_quote_total_price,float64,3992,38.5,2354,31.0,57059.0,"['188.0', '941.0', '880.53']"
price_quote_price_per_night,float64,3992,38.5,2709,14.7,11412.0,"['94.0', '313.67', '440.27']"
price_quote_raw,str,3861,37.24,6173,,,"['{""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"":...', '{""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"":...', '{""quote"": {""taxes"": null, ""currency"": ""EUR"", ""date_match"": null, ""service_fee"": null, ""total_price"":...']"
minimum_nights,float64,3,0.03,48,1.0,800.0,"['1.0', '3.0', '2.0']"
maximum_nights,float64,3,0.03,111,1.0,2147483647.0,"['730.0', '1125.0', '365.0']"
minimum_minimum_nights,float64,3,0.03,48,1.0,800.0,"['1.0', '3.0', '2.0']"
maximum_minimum_nights,float64,3,0.03,54,1.0,800.0,"['2.0', '5.0', '3.0']"
minimum_maximum_nights,float64,3,0.03,111,1.0,2147483647.0,"['730.0', '1125.0', '365.0']"
maximum_maximum_nights,float64,3,0.03,111,1.0,2147483647.0,"['730.0', '1125.0', '365.0']"
minimum_nights_avg_ntm,float64,0,0.0,183,1.0,800.0,"['2.0', '5.0', '3.0']"
maximum_nights_avg_ntm,float64,0,0.0,378,1.0,2147483647.0,"['730.0', '1125.0', '365.0']"
calendar_updated,float64,10369,100.0,0,,,[]
has_availability,str,136,1.31,2,,,"['t', 'f']"
availability_30,int64,0,0.0,31,0.0,30.0,"['1', '0', '3']"
availability_60,int64,0,0.0,61,0.0,60.0,"['1', '2', '3']"
availability_90,int64,0,0.0,91,0.0,90.0,"['1', '2', '3']"
availability_365,int64,0,0.0,366,0.0,365.0,"['11', '2', '3']"
calendar_last_scraped,str,0,0.0,3,,,"['2026-06-16', '2026-06-24', '2026-06-15']"
number_of_reviews,int64,0,0.0,601,0.0,5603.0,"['799', '906', '186']"
number_of_reviews_ltm,int64,0,0.0,145,0.0,813.0,"['88', '82', '5']"
number_of_reviews_l30d,int64,0,0.0,24,0.0,41.0,"['5', '6', '0']"
availability_eoy,int64,0,0.0,200,0.0,199.0,"['2', '3', '0']"
number_of_reviews_ly,int64,0,0.0,143,0.0,959.0,"['95', '85', '1']"
estimated_occupancy_l365d,int64,0,0.0,84,0.0,255.0,"['255', '39', '0']"
estimated_revenue_l365d,float64,3992,38.5,3852,0.0,344955.0,"['23970.0', '12233.0', '112269.0']"
first_review,str,1023,9.87,3102,,,"['2010-08-22', '2011-03-16', '2010-08-16']"
