column_name,data_type,missing_count,missing_percentage,unique_count,minimum,maximum,sample_values
id,int64,0,0.0,10465,28871.0,1.7081586327810045e+18,"['28871', '29051', '44129']"
name,str,0,0.0,10148,,,"['Comfortable double room', 'Comfortable single / double room', 'Luxury design with canal view']"
host_id,float64,96,0.92,9104,3592.0,1.705253369814659e+18,"['124245.0', '187728.0', '194779.0']"
host_profile_id,float64,233,2.23,9076,1.462506389112963e+18,1.7078657404326943e+18,"['1.462510208428039e+18', '1.4625121252931446e+18', '1.4625123369036503e+18']"
host_name,str,238,2.27,3793,,,"['Edwin', 'Tanya', 'Jan']"
neighbourhood_group,float64,10465,100.0,0,,,[]
neighbourhood,str,0,0.0,22,,,"['Centrum-West', 'Centrum-Oost', 'Buitenveldert - Zuidas']"
latitude,float64,0,0.0,7569,52.290276216002695,52.4251585173962,"['52.36775', '52.36584', '52.38211']"
longitude,float64,0,0.0,8576,4.75587,5.02815,"['4.89092', '4.89111', '4.8863']"
room_type,str,0,0.0,4,,,"['Private room', 'Entire home/apt', 'Hotel room']"
price,float64,3994,38.17,842,15.0,11412.0,"['94.0', '314.0', '440.0']"
minimum_nights,float64,3,0.03,48,1.0,800.0,"['1.0', '3.0', '2.0']"
number_of_reviews,int64,0,0.0,606,0.0,5603.0,"['799', '906', '186']"
last_review,str,1033,9.87,1506,,,"['2026-06-01', '2026-04-30', '2022-08-20']"
reviews_per_month,float64,1033,9.87,703,0.01,92.56,"['4.15', '4.88', '0.96']"
calculated_host_listings_count,float64,96,0.92,20,1.0,24.0,"['2.0', '4.0', '1.0']"
availability_365,int64,0,0.0,366,0.0,365.0,"['11', '2', '3']"
number_of_reviews_ltm,int64,0,0.0,157,0.0,813.0,"['88', '82', '5']"
license,str,319,3.05,9032,,,"['0363 607B EA74 0BD8 2F6F', '03635399E87602900F47', '0363 E76E F06A C1DD 172C']"
