neighbourhood,listing_count,listings_with_price,avg_price,median_price,avg_review_score,total_review_events,avg_reviews_per_listing,avg_availability_rate,avg_unavailability_rate_proxy
De Baarsjes - Oud-West,1825,1073,364.68,328.0,4.874,69085,37.85,0.2261,0.7739
Centrum-West,1217,877,398.36,290.0,4.815,116784,95.96,0.3376,0.6624
De Pijp - Rivierenbuurt,1201,702,380.78,333.5,4.856,47109,39.22,0.2522,0.7478
Centrum-Oost,933,678,350.41,282.5,4.809,85025,91.13,0.36,0.64
Westerpark,720,405,332.57,286.0,4.871,27910,38.76,0.2152,0.7848
Zuid,709,450,401.85,327.0,4.881,28645,40.4,0.2984,0.7016
Oud-Oost,670,388,308.24,276.0,4.856,25575,38.17,0.2418,0.7582
Bos en Lommer,546,257,281.79,265.0,4.866,17223,31.54,0.1675,0.8325
Oud-Noord,479,283,357.02,266.0,4.848,25295,52.81,0.2248,0.7752
Oostelijk Havengebied - Indische Buurt,411,231,290.24,262.0,4.862,16186,39.38,0.2123,0.7877
Noord-West,312,205,265.23,259.0,4.867,10339,33.14,0.2008,0.7992
Watergraafsmeer,304,186,311.24,280.0,4.864,10560,34.74,0.2552,0.7448
Slotervaart,223,121,253.38,233.0,4.871,10228,45.87,0.2283,0.7717
IJburg - Zeeburgereiland,187,116,330.72,287.0,4.853,8494,45.42,0.2342,0.7658
Noord-Oost,179,124,288.65,266.5,4.866,7073,39.51,0.2646,0.7354
Geuzenveld - Slotermeer,141,94,250.29,233.0,4.781,5544,39.32,0.2782,0.7218
Buitenveldert - Zuidas,119,87,313.99,240.0,4.775,4212,35.39,0.3761,0.6239
De Aker - Nieuw Sloten,71,46,233.89,209.0,4.855,4921,69.31,0.2981,0.7019
Bijlmer-Centrum,66,51,184.25,147.0,4.728,7121,107.89,0.4175,0.5825
Osdorp,59,40,175.05,153.0,4.828,12368,209.63,0.3118,0.6882
Gaasperdam - Driemond,54,33,193.06,162.0,4.695,3819,70.72,0.3144,0.6856
Bijlmer-Oost,39,24,206.67,120.5,4.788,1646,42.21,0.2225,0.7775
